USN,Gender,Age,12th marks %,rural/ urban area,Section,Why take this course?,Which teaching methods helped your learning?,Were you prepared to take this course based on prior coursework?,How much time did you spend weekly on this course outside of class for C01?,How much time did you spend weekly on this course outside of class for C02?,How much time did you spend weekly on this course outside of class for C03?,How much time did you spend weekly on this course outside of class for C04?,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,How satisfied are you with C01?,How satisfied are you with C02?,How satisfied are you with C03?,How satisfied are you with C04?,List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,How many marks will you give yourself for C01?,How many marks will you give yourself for C02?,How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback,Would more outside help improve your learning in C01?.1,Would more outside help improve your learning in C01?.2,Would more outside help improve your learning in C01?.3,Your overall feedback about the course,Write a paragraph about your course experience.,Were class activities allowed to be submitted after the class timing? [CO1]
1RVU,Male,18.0,70,Urban,IDA_A,Interest in the subject,Projects or portfolios,Yes,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I did well enough,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Okay (40 - 70%),,,,,,
1RVU23BSC175,Female,19.0,85,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class learning activities, other than discussions",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I am satisfied with my effort,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Horrible (<40%),,,,,,
1RVU23Bsc086,Female,17.0,69,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Peers mistake for nit putting the required effort. ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC104,Female,18.0,89.8,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities",No,Less than one hour,1-2 hours,Less than one hour,5-6 hours,"Applying basic elements of an idea, experience, or theory",Memorizing facts and repeating ideas from the readings and lectures,"Making judgments about the value of information, arguments, or methods","Applying basic elements of an idea, experience, or theory",Happy as I enjoyed doing the CO activities,Neutral with my effort,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, referring to it",Copy-paste from online,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,2,3,3,3,Yourself,Yourself,Yourself,Yourself,I'll be responsible,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1RVU23CSE510,,,,Urban,,,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",Yes,3-4 hours,3-4 hours,5-6 hours,7-8 hours,Thinking creatively or critically,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",5,4,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,NO,NO,NO,,,,,NO,NO,NO,Good (70 - 90%),It helped me analyze graphs in more deeper level,
1RVU23CSE074,,,,Urban,,,"In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,1-2 hours,1-2 hours,3-4 hours,3-4 hours,Solving problems,Solving problems,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,Neutral with my effort,Neutral with my effort,Neutral with my effort,Neutral with my effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,NO,Yes,Yes,NO,,,,,NO,NO,NO,Excellent (> 90%),Data Analysis with Python was a very useful course for me as it helped me delve deeper into the world of data analysis.,
1RVU23CSE281,,,,Urban,,,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;Labs;Projects or portfolios;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",No,,,,,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Synthesizing and organizing ideas, information, or experiences",Not happy as I did not put in the required effort,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I put in the required effort,"Understand others work but redo it, referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",3,2,3,2,NA(marks >2),Yourself,Yourself,NA(marks >2),,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Excellent (> 90%),Excellent,
1RVU23CSE517,,,,Rural,,,"Lectures, including online lectures;In-class clickers or other quick response methods;Projects or portfolios",No,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Good (70 - 90%),It was a nice experience for me to analyse datasets to see patterns and get interesting inference out of it I loved doing the final project that was my favourite one.,
1RVU23CSE045,,,,Urban,,,"Class discussions, including online discussion boards;In-class clickers or other quick response methods",No,1-2 hours,1-2 hours,1-2 hours,3-4 hours,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Good (70 - 90%),,
1RVU23CSE023,,,,Urban,,,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Teamwork or group activities;Student presentations;Writing work",,T1,3-4 hours,1-2 hours,3-4 hours,Solving problems,Applying theories or concepts to practical problems or in new situations,Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,2,4,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,Yes,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Good (70 - 90%),My experience was good and i liked this course a lot and i loved doing this and even I made online course about it and i explored this course related a lot and it was enjoying too and the assessment was also given good.,
1RVU23CSE312,,,,Urban,,,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,1-2 hours,1-2 hours,3-4 hours,3-4 hours,Applying theories or concepts to practical problems or in new situations,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Applying theories or concepts to practical problems or in new situations,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),,NO,Yes,Yes,Yes,NO,,,,,NO,NO,NO,Excellent (> 90%),It is an excellent course and has given me an idea about what I could pursue in my future ahead.,
1RVU23CSE439,,,,Urban,,,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Fieldwork/ field trips",No,T1,T1,1-2 hours,T1,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Happy as I put in the required effort,Happy as I enjoyed doing the CO activities,Neutral with my effort,Neutral about understanding the teacher,"Understand others work but redo it, referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",2,2,2,3,Yourself,Yourself,Yourself,Yourself,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Okay (40 - 70%),It was good but as I am new to this course it took me time to understand it and have to put in much efforts,
